mysql> SELECT DISTINCT title, record.qid
    -> FROM (SELECT record.qid, COUNT(DISTINCT record.title) cnt
    -> FROM record
    -> INNER JOIN (SELECT DISTINCT qid FROM record)qids
    -> ON qids.qid = record.qid
    -> GROUP BY record.qid
    -> )questions
    -> INNER JOIN record
    -> ON questions.qid = record.qid AND cnt > 1
    -> ORDER BY record.qid ASC;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+
| title                                                                                                                                                     | qid       |
| 如何评价南方科技大学新拟定的硕博工资标准（硕士 4-6w，博士开题前 7-9w，开题后 9.5-13w）？                                                                  | 542102225 |
| 如何评价网传南方科技大学拟定的硕博工资标准（硕士 4-6w，博士开题前 7-9w，开题后 9.5-13w）？                                                                | 542102225 |
| 一度辍学的数学差生，获得 2022 年菲尔兹奖，带来哪些启示？                                                                                                  | 542132451 |
| 「一度辍学的数学差生」韩裔数学家许埈珥获得 2022 年菲尔兹奖，这带来哪些启示？                                                                              | 542132451 |
| 如何看待贾樟柯「不能把中国电影做成主旋律专卖场」，提出对现在环境的批判?                                                                                   | 542171942 |
| 如何看待贾樟柯接受采访时称「不能把中国电影只做成主旋律的专卖场」？                                                                                        | 542171942 |
| 长城汽车高管「炮轰」华为余承东，表示再大的嘴也不能大放厥词，你认为余承东是否会对此做出回应？                                                              | 542175401 |
| 长城汽车高管「炮轰」华为余承东，余承东会对此做出回应吗？                                                                                                  | 542175401 |
| 日本前首相安倍晋三胸部中枪已无生命体征 ，嫌疑人被控制，目前最新进展如何？背后原因为何？                                                                   | 542176683 |
| 日本前首相安倍晋三胸部中枪已无生命体征，嫌犯被控制，目前最新进展如何？                                                                                    | 542176683 |
| 日本前首相安倍晋三胸部中枪，因伤势过重不治身亡，背后原因为何？国际局势将受到怎样的影响？                                                                  | 542176683 |
| 安倍晋三因伤势过重不治身亡，国际局势将受到怎样的影响？                                                                                                    | 542176683 |
| 安倍晋三因伤势过重不治身亡，还有哪些进展值得关注？                                                                                                        | 542176683 |
| 《狐妖小红娘·月红篇》杨幂饰演涂山红红，龚俊饰演东方月初，他们的造型如何？还原度高吗？                                                                     | 542179204 |
| 《狐妖小红娘·月红篇》杨幂和龚俊的造型如何？还原度高吗？                                                                                                   | 542179204 |
| 安倍晋三中枪已无生命体征，可能对日本政坛和东亚局势产生哪些影响？                                                                                          | 542185276 |
| 日本前首相安倍晋三因伤势过重不治身亡，可能对日本政坛和东亚局势产生哪些影响？                                                                              | 542185276 |
| 安倍晋三身亡可能对日本政坛和东亚局势产生哪些影响？                                                                                                        | 542185276 |
| 安倍晋三身亡可能对日本政坛和国际局势产生哪些影响？                                                                                                        | 542185276 |
| 如何看待日本前首相安倍晋三政治生涯？为中日关系留下了什么？                                                                                                | 542188289 |
| 如何看待日本前首相安倍晋三的一生？为中日关系留下了什么？                                                                                                  | 542188289 |
| 日媒报道称袭击安倍嫌犯系「前海上自卫队成员」，有哪些关于枪手的信息？其动机可能为何？                                                                      | 542198655 |
| 日媒称袭击安倍嫌犯系「前海上自卫队成员」，正调查是否具备刑事责任能力，还有哪些枪手信息？动机可能为何？                                                    | 542198655 |
| 安倍晋三因伤势过重不治身亡，「安倍经济学」曾带领日本经济走出低谷，目前日本经济面临什么困难？                                                              | 542206113 |
| 「安倍经济学」曾带领日本经济走出低谷，目前日本经济面临什么困难？                                                                                          | 542206113 |
| 如何评价「安倍经济学」的历史作用，目前日本经济面临哪些困难？                                                                                              | 542206113 |
| 何小鹏称坚决反对汽车内设计大量屏幕，没太大价值，对此你是否认同？                                                                                          | 542208980 |
| 小鹏汽车董事长何小鹏称「坚决反对汽车内设计大量屏幕，没太大价值」，对此你认同吗？                                                                          | 542208980 |
| 安倍枪击案嫌犯使用的枪支疑为 3D 打印机制作，弹药来源成谜，还有哪些与此枪支及弹药有关的信息？                                                              | 542211522 |
| 安倍枪击案使用枪支疑为 3D 打印机制作，还有哪些与此有关的信息？                                                                                            | 542211522 |
| 安倍枪击案使用枪支疑为 3D 打印机制作，弹药来源可能是什么？                                                                                                | 542211522 |
| 安倍晋三中枪，对日本政局将产生哪些影响？日本历史上哪些首相被刺？                                                                                          | 542212129 |
| 安倍晋三中枪，对日本政局将产生哪些影响？日本历史上还有哪些首相曾遇刺？                                                                                    | 542212129 |
| 安倍晋三中枪身亡，对日本政局将产生哪些影响？日本历史上还有哪些首相曾遇刺？                                                                                | 542212129 |
| 普京表示「俄罗斯还未在乌克兰认真开始任何行动」，如何解读他的此番发言？                                                                                    | 542214221 |
| 普京在谈到对乌特别军事行动时表示，「我们目前还没开始动真格」，如何解读他的此番发言？                                                                      | 542214221 |
| 媒体公布安倍伤情，称「院方考虑安装人工心肺装置」，目前情况如何？人工心肺装置能起到哪些作用？                                                              | 542218669 |
| 安倍晋三已去世，此前媒体报道称「院方考虑安装人工心肺装置」，这一装置能起到哪些作用？                                                                      | 542218669 |
| 安倍晋三已去世，此前院方考虑安装人工心肺装置，能起到何作用？                                                                                              | 542218669 |
| 安倍晋三已遇刺身亡，此前院方考虑安装人工心肺装置，能起到何作用？                                                                                          | 542218669 |
| 日本前首相安倍晋三因伤势过重不治身亡，他对日本来说意味着什么？国际局势将受到怎样的影响？                                                                  | 542233419 |
| 安倍晋三因伤势过重不治身亡，国际局势将受到怎样的影响？                                                                                                    | 542233419 |
| 为什么有些饮料能解渴，有些却越喝嗓子越干，是什么影响了饮料「解渴」的效果？                                                                                | 542237799 |
| 为什么有些饮料能解渴，有些却不能，是什么影响了饮料「解渴」的效果？                                                                                        | 542237799 |
| 郑州回应健康码异常「系统数据接口升级过程中出现技术问题，已全部恢复正常」，哪些信息值得关注？                                                              | 542249021 |
| 如何看待郑州回应健康码异常，称「系统数据接口升级过程中出现技术问题」？                                                                                    | 542249021 |
| 媒体报道安倍晋三遗体将于凌晨运往东京，按照日本传统习俗接下来葬礼会如何进行？                                                                              | 542257506 |
| 日本前首相安倍晋三葬礼将于 7 月 12 日举行，按照日本传统习俗接下来葬礼会如何进行？                                                                         | 542257506 |
| 日媒曾称安倍安保费年均超 1120 万人民币，他却被从 3 米处连开两枪，其安保方面存在哪些问题？                                                                 | 542258837 |
| 日媒曾称安倍安保费年均超 1120 万人民币，其安保方面存在哪些问题？                                                                                          | 542258837 |
| 外交部称「安倍曾为推动中日关系改善发展作出过贡献，向其家属表示哀悼」，你对安倍执政生涯有何记忆？                                                          | 542261093 |
| 外交部称「安倍曾为推动中日关系改善发展作出过贡献」，你对安倍执政生涯有何记忆？                                                                            | 542261093 |
| 航天科工员工遗失涉密手机，司机好意归还却遭持证威胁报警，航天科工回应：该员工已被停职，如何看待此事？                                                      | 542261567 |
| 航天科工下属公司员工遗失涉密手机，司机归还却遭其威胁报警，航天科工回应称该员工已被停职，如何看待此事？                                                    | 542261567 |
| 航天科工下属公司员工遗失涉密手机，司机归还却遭其威胁报警，该员工现已被停职，如何看待此事？                                                                | 542261567 |
| 安倍枪击案嫌疑人称「因安倍与宗教团体有关」而实施枪击，如何看待这一作案动机？日本宗教文化现状如何？                                                        | 542261848 |
| 安倍枪击案嫌疑人称「因安倍与宗教团体有关」而实施枪击，如何看待这一作案动机？                                                                              | 542261848 |
| 中国新闻周刊评价：没有考上编制还质疑明星考上了的人是为“小镇做题家”，大家有何感想?                                                                         | 542264557 |
| 媒体评「易烊千玺考编」文章中提到「小镇做题家」，什么是小镇做题家？这个说法是怎么来的？                                                                    | 542264557 |
| 媒体评「易烊千玺考编」文章中提到「小镇做题家」，什么是小镇做题家？                                                                                        | 542264557 |
| 日本奈良警方公布安倍遇袭事件细节，本案还有哪些疑点？后续将从哪些方面展开调查？                                                                            | 542275540 |
| 日本奈良警方公布安倍遇袭事件细节，本案还有哪些疑点？                                                                                                      | 542275540 |
| 拜登下令降半旗，哀悼日本前首相安倍晋三，美日两国关系如何？                                                                                                | 542336386 |
| 拜登下令降半旗，哀悼日本前首相安倍晋三，并前往日本驻美使馆吊唁，美日两国关系如何？                                                                        | 542336386 |
| 如何看待张雪峰建议考生高考结束即可准备考研？                                                                                                              | 542343072 |
| 张雪峰回应「建议高考结束即可准备考研」，如何看待张雪峰这一观点？                                                                                          | 542343072 |
| 7 月 9 日，王毅与美国国务卿布林肯举行会晤，有哪些信息值得关注？                                                                                           | 542350582 |
| 王毅与美国国务卿布林肯举行会晤，进行「全面、深入、坦诚和长时间」沟通，还有哪些信息值得关注？                                                              | 542350582 |
| 王毅与布林肯举行会晤，双方就中美关系等进行沟通，还有哪些信息值得关注？                                                                                    | 542350582 |
| 王毅与布林肯举行会晤，双方就中美关系等进行沟通，有哪些信息值得关注？                                                                                      | 542350582 |
| 上海瑞金医院内一男子持刀伤人致 4 伤，警方通报「民警开枪将其击伤制服」，涉事男子将承担哪些法律责任？                                                       | 542366857 |
| 上海瑞金医院内一男子持刀伤人致 4 伤，涉事男子将承担哪些法律责任？                                                                                         | 542366857 |
| 近日珠海一女子因新房漏水找开发商协商，被壮汉一巴掌扇倒在地，还有哪些信息值得关注？                                                                        | 542387794 |
| 珠海一业主反映房屋漏水问题遭物业掌掴，警方称涉事员工已被行政拘留，类似事件该如何处理？                                                                    | 542387794 |
| 斯里兰卡示威者冲入总统官邸，总统已离开首都科伦坡，经济危机背景下当地社会状况如何？                                                                        | 542389190 |
| 斯里兰卡示威者冲入总统官邸，经济危机背景下当地社会状况如何？                                                                                              | 542389190 |
| 王毅与布林肯举行会晤提出「四份清单」，并称「希望美方切实认真对待」，释放了什么信号？                                                                      | 542402983 |
| 王毅与布林肯举行会晤提出「四份清单」，释放了什么信号？                                                                                                    | 542402983 |
| 约翰逊下台、安倍遇刺，与上世纪初「世界乱局前夜」相似的情景接连上演，2022 会陷入历史轮回吗？                                                               | 542415033 |
| 约翰逊下台、安倍遇刺，2022 会陷入历史轮回吗？                                                                                                             | 542415033 |
| 国考计划补录 5182 人，7 月 10 日可登陆网站报名，补录成功的概率有多大？有什么注意事项吗？                                                                  | 542420363 |
| 国考计划补录 5182 人，补录成功的概率有多大？有什么注意事项？                                                                                              | 542420363 |
| 媒体报道我国一人户家庭超 1.25 亿户，养猫人群数超过养狗人群，有哪些值得关注的信息？                                                                        | 542496429 |
| 如何看待我国一人户家庭超 1.25 亿户，养猫人群数超过养狗人群？                                                                                              | 542496429 |
| 在校生非正常下载 2578 篇文献，社科大 IP 遭数据库商封禁，该学生将面临哪些处罚？                                                                            | 542506737 |
| 在校生非正常下载 2578 篇文献，该学生将面临哪些处罚？                                                                                                      | 542506737 |
| 南宁 5 岁男孩被父母滞留在幼儿园，事件后续调查情况如何？                                                                                                   | 542506996 |
| 南宁 5 岁男孩被父母滞留在幼儿园，这是否涉嫌遗弃罪？                                                                                                       | 542506996 |
| 南宁 5 岁男孩被其母和生父滞留在幼儿园，这是否涉嫌遗弃罪？                                                                                                 | 542506996 |
| 武昌区卫健委回应「网传武汉大学出现霍乱病例」，称检测结果还未出炉，哪些因素会感染霍乱？如何预防传染？                                                      | 542509844 |
| 武昌区卫健委回应「网传武汉大学出现霍乱病例」，哪些因素会感染霍乱？如何预防传染？                                                                          | 542509844 |
| 如何评价张伯礼称 BA.5 新毒株是目前已知传播力最强的毒株？有哪些特点？防疫面临着哪些挑战？                                                                  | 542514584 |
| 张伯礼称 BA.5 新毒株是目前已知传播力最强的毒株，它有哪些特点？                                                                                            | 542514584 |
| 如何看待西宁机场要求一律落地检并收费，每人单检 16 元，混检 5 元，12345 热线则称「免费」？                                                                 | 542518044 |
| 如何看待西宁机场要求一律落地检并收费，12345 则称「是免费的」？                                                                                            | 542518044 |
| 如何看待《谭谈交通》在 B 站突然下线，谭乔可能面临巨额赔偿，可能存在哪方面的问题？                                                                         | 542527902 |
| 《谭谈交通》在 B 站突然下线，谭乔或面临巨额赔偿，出了什么问题？                                                                                           | 542527902 |
| 7 月 9 日河南省考近 20 万人弃考，平均考录比 49 : 1 ，出现这种现象的原因有哪些？                                                                           | 542529188 |
| 7 月 9 日河南省考近 20 万人弃考，出现这种现象的原因有哪些？                                                                                               | 542529188 |
| 台湾首枚类卫星载具火箭升空 2 分钟后落海，研发负责人称是 99.9% 成功，它实现了哪些技术突破？                                                                | 542543515 |
| 台湾首枚类卫星载具火箭升空 2 分钟后落海，它实现了哪些技术突破？                                                                                           | 542543515 |
| 乌克兰总统泽连斯基解除该国多名驻外大使职务，解除原因是什么？这将会造成哪些影响？                                                                          | 542545583 |
| 乌克兰总统泽连斯基解除该国多名驻外大使职务，解除原因是什么？                                                                                              | 542545583 |
| 日本第 26 届国会参议院选举投票结束，调查显示修宪势力获得超三分之二的席位，这意味着什么？                                                                  | 542564923 |
| 日本国会参议院选举投票结束，调查显示修宪势力获得超三分之二的席位，这意味着什么？                                                                          | 542564923 |
| 7 月 10 日中国三人女篮击败澳大利亚队，获得亚洲杯冠军，如何评价本次比赛中国女篮的表现？                                                                    | 542570889 |
| 中国三人女篮击败澳大利亚队，获得亚洲杯冠军，如何评价本次比赛中国女篮的表现？                                                                              | 542570889 |
| 斯里兰卡总理宣布「国家已经破产」，破产对国家而言意味着什么？斯里兰卡的未来该何去何从？                                                                    | 542572777 |
| 斯里兰卡总理宣布「国家已经破产」，破产对国家而言意味着什么？                                                                                              | 542572777 |
| 斯里兰卡总理宣布「国家已经破产」，斯里兰卡的未来该何去何从？                                                                                              | 542572777 |
| 快递茅台保价 1 万 8 损坏后只愿赔 5 千，德邦称并非客户保价多少就赔多少，如何从法律角度解读？                                                               | 542603221 |
| 快递茅台保价 1 万 8 损坏后只愿赔 5 千，如何从法律角度解读？                                                                                               | 542603221 |
| 7 月 13 日将现今年最大超级月亮，满月地平高度 14 年来最低，高度受什么影响？怎样观测视角最佳？                                                              | 542605199 |
| 7 月 13 日将现今年最大超级月亮，怎样观测视角最佳？                                                                                                        | 542605199 |
| 多地公务员遴选要求全日制学历，有专家表示「人为设限有违就业公平」，你认为对学制设限公平吗？                                                                | 542625574 |
| 多地公务员遴选要求全日制学历，你认为对学制设限公平吗？                                                                                                    | 542625574 |
| 罗永浩官宣新创业公司 Thin Red Line（细红线），目标 AR 行业，如何看待他此次的选择？                                                                        | 542627963 |
| 罗永浩官宣新创业公司 Thin Red Line，目标 AR 行业，如何看待他此次的选择？                                                                                  | 542627963 |
| 上海一男孩骑平衡车核酸被拒持刀威胁，如何评价他的行为？警方已约谈其家长，将承担哪些责任？                                                                  | 542652758 |
| 上海一男孩骑平衡车核酸被拒持刀威胁，如何评价他的行为？                                                                                                    | 542652758 |
| 官方通报「武汉大学一例霍乱病例处置情况」，称「患者经有效诊治，病情已控制，症状已消失」，目前情况如何？                                                    | 542660777 |
| 官方通报「武汉大学一例霍乱病例处置情况」，目前情况如何？                                                                                                  | 542660777 |
| 韩国「统一教」确认枪杀安倍的嫌疑人之母是该教信徒，该教曾被中国政府认定为邪教组织，该组织有什么背景？                                                      | 542662675 |
| 韩国「统一教」确认枪杀安倍的嫌疑人之母是该教信徒，该组织有什么背景？                                                                                      | 542662675 |
| WPS 回应删除用户本地文件，称「不会去操作用户的文件，正在核实处理」，如何看待这一事件？                                                                    | 542676012 |
| WPS 回应删除用户本地文件，称「不会去操作用户的文件」，如何看待这一事件？                                                                                  | 542676012 |
| 应急管理局回应「网传甘肃一地现火球状不明飞行物」，称「立即核实」，该飞行物可能是什么？                                                                    | 542705598 |
| 网传甘肃一地现火球状不明飞行物，官方回应称「立即核实」，它可能是什么？                                                                                    | 542705598 |
| 江西一地竖牌曝光「失足妇女」「违法房东」照片，警方称是为打击卖淫嫖娼行为，如何评价这种公示方式？                                                          | 542715610 |
| 江西一地竖牌曝光「失足妇女」「违法房东」照片，警方回应称已撤除告示牌，如何评价这种公示方式？                                                              | 542715610 |
| 德国拟修改法律取消 2035 碳中和目标，环保目标是否会在经济压力下低头？                                                                                      | 542715909 |
| 德国拟修改法律取消 2035 碳中和目标，这可能受到哪些国内因素影响？                                                                                          | 542715909 |
| 网传德国拟取消 2035 碳中和目标，媒体称「从来就没有过何谈取消」，具体情况如何？                                                                            | 542715909 |
| 如何看待《谭谈交通》下架事件维权方游术与成都广播电视台的「版权服务策划方案」，事件后续可能会如何发展？                                                    | 542722918 |
| 《谭谈交通》被诉侵权案背后推手疑似曝光，事件后续可能会如何发展？                                                                                          | 542722918 |
| 媒体报道盛京银行「已停止支付宝存款产品销售」，提现有固定时间，具体发生了什么？                                                                            | 542727996 |
| 媒体报道盛京银行「已停止支付宝存款产品销售」，具体发生了什么？                                                                                            | 542727996 |
| 盛京银行已停止支付宝存款产品销售，具体发生了什么？                                                                                                        | 542727996 |
| 普京签署总统令，规定乌克兰所有居民可通过简化程序获取俄罗斯公民身份，这会对俄乌局势产生哪些影响？                                                          | 542758889 |
| 普京签署总统令，规定乌所有居民可通过简化程序获取俄公民身份，这会产生哪些影响？                                                                            | 542758889 |
| 河南官方宣布对 4 家村镇银行客户开展先行垫付，如何看待这一解决措施？垫付工作开展需注意哪些问题？                                                           | 542766421 |
| 河南官方宣布对 4 家村镇银行客户开展先行垫付，如何看待这一解决措施？                                                                                       | 542766421 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+
158 rows in set (0.16 sec)

mysql> exit
